datetimeUtc,location_id,location_name,latitude,longitude,date,time,pm1,pm10,pm2.5,relativehumidity,temperature,um003,AQI_pm2.5,AQI_pm10,AQI
2024-10-20 18:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,18:00:00,117.52604166666669,224.1563479105632,212.2796630859375,50.86929607391357,26.89523760477702,29402.07275390625,262.2230895446227,134.88661047617597,262.2230895446227
2024-10-20 19:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,19:00:00,117.93075307210286,230.35932413736973,217.04642868041992,52.12638886769613,26.483333428700764,29588.019856770832,266.94691130492066,137.92606882731116,266.94691130492066
2024-10-20 20:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,20:00:00,112.49166679382324,219.596430460612,207.39285532633463,53.83214282989502,26.117857615153,28289.737955729168,257.38030708015145,132.6522509256999,257.38030708015145
2024-10-20 21:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,21:00:00,106.67976188659668,210.4578857421875,198.67202377319336,55.14226245880127,25.815476099650063,26978.66796875,248.73804157703847,128.17436401367186,248.73804157703847
2024-10-20 22:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,22:00:00,103.9444440205892,206.5938491821289,194.928773244222,55.91984113057455,25.59682559967041,26304.34309895833,245.02851402580558,126.28098609924317,245.02851402580558
2024-10-20 23:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,23:00:00,109.98814392089844,226.11498260498047,212.7798614501953,56.96830368041992,25.252380847930908,27819.208658854168,262.7187816173107,135.84634147644044,262.7187816173107
2024-10-21 00:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,00:00:00,116.16686566670737,245.2164688110352,228.87936528523764,57.3214282989502,24.948015689849854,29388.113118489586,278.6732448772625,145.20606971740725,278.6732448772625
2024-10-21 01:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,01:00:00,123.55238087972003,260.4369010925293,244.1000022888184,58.77619012196859,24.55952405929565,31139.226236979168,293.75675902495516,156.382532081604,293.75675902495516
2024-10-21 02:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,02:00:00,125.0498530069987,264.3876469930013,247.5200881958008,59.3668155670166,24.63898817698161,31560.07161458333,297.14603334719,160.29377052307126,297.14603334719
2024-10-21 03:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,03:00:00,109.0555559794108,227.5967229207357,213.6884892781576,53.58184623718262,27.03948450088501,27647.88981119792,263.619223608985,136.5723942311605,263.619223608985
2024-10-21 04:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,04:00:00,99.70476214090984,204.39047495524088,192.94761912028,47.815476417541504,29.229761918385822,25468.964518229168,243.06520813721443,125.20133272806802,243.06520813721443
2024-10-21 05:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,05:00:00,97.89999961853027,196.1785710652669,185.86904780069983,46.2345240910848,30.05238103866577,24930.547526041668,236.05040773042327,121.17749982198079,236.05040773042327
2024-10-21 06:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,06:00:00,82.46175575256348,162.4124501546224,154.49712498982748,46.26542663574219,30.1089285214742,21176.88753255208,204.961114854784,104.63210057576498,204.961114854784
2024-10-21 07:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,07:00:00,73.84741020202637,142.85636965433756,136.1415475209554,41.0000893274943,31.394255956014,19003.68831380208,235.1255342947796,94.04962113062541,235.1255342947796
2024-10-21 08:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,08:00:00,73.34910647074382,140.59359995524088,134.30669403076172,37.90595308939616,32.30104144414266,18837.218587239586,233.21140894673772,92.94086397806802,233.21140894673772
2024-10-21 09:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,09:00:00,65.3943452835083,121.28124936421712,116.63154792785645,34.77500025431315,32.56309572855631,16840.431640625,214.77263693211577,83.47781218846639,214.77263693211577
2024-10-21 10:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,10:00:00,65.42126776955344,122.6229976307262,117.34924177689986,34.60092059048739,32.56747817993164,16873.219105113636,215.52133757548035,84.13526883905584,215.52133757548035
2024-10-21 11:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,11:00:00,67.67177518208821,128.92336146036783,123.25555483500165,35.84375031789144,31.73645846048991,17430.093912760418,221.6828232736055,87.22244711558024,221.6828232736055
2024-10-21 12:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,12:00:00,68.26512972513835,131.8880443572998,125.65734163920084,38.49265861511231,30.45426607131958,17602.744303385418,224.18837536650034,88.6751417350769,224.18837536650034
2024-10-21 13:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,13:00:00,69.97333374023438,135.55512161254882,128.86089324951172,41.7069652557373,29.185178375244146,18032.4001953125,227.53033120865817,90.47200959014893,227.53033120865817
2024-10-21 14:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,14:00:00,80.0510425567627,155.90997060139975,147.5854174296061,47.35595258076986,28.19196430842082,20476.28727213541,247.06381797187572,101.44588559468588,247.06381797187572
2024-10-21 15:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,15:00:00,95.02162615458172,183.02460352579752,173.3178571065267,49.6791664759318,27.688095410664875,24044.08740234375,223.61229082628773,114.73205572764078,223.61229082628773
2024-10-21 16:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,16:00:00,101.45684560139972,197.1264394124349,186.4180081685384,51.016419092814125,27.16364097595215,25659.742513020832,236.59442250936237,121.6419553120931,236.59442250936237
2024-10-21 17:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,17:00:00,105.81041590372722,208.6784222920736,197.13630803426108,52.99583371480306,26.70476198196411,26749.772135416668,247.21616111503351,127.30242692311606,247.21616111503351
2024-10-21 18:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,18:00:00,102.4275115966797,206.88669128417968,195.25079345703125,54.195547866821286,26.406678199768063,26014.7826171875,245.34763315561656,126.42447872924804,245.34763315561656
2024-10-21 19:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,19:00:00,105.83511861165364,216.70932388305664,203.58809534708652,55.5172618230184,26.12916644414266,26872.73388671875,253.60982421783348,131.23756870269776,253.60982421783348
2024-10-21 20:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,20:00:00,111.89702288309734,226.00991821289065,212.37678654988608,58.98968251546224,25.6095240910848,28291.377278645832,262.3193380224096,135.79485992431643,262.3193380224096
2024-10-21 21:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,21:00:00,101.53110059102376,211.1488075256348,198.3921127319336,58.0044641494751,25.327827135721844,25871.90315755208,248.46065225687113,128.51291568756105,248.46065225687113
2024-10-21 22:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,22:00:00,101.30396906534833,212.64881006876627,199.79742177327475,59.72003936767578,25.045238335927326,25848.739908854168,249.8533008563984,129.24791693369548,249.8533008563984
2024-10-21 23:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-21,23:00:00,104.93174616495769,222.7591260274252,208.64920552571616,60.28353118896485,24.95376968383789,26765.47021484375,258.62533880926827,134.20197175343833,258.62533880926827
2024-10-22 00:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,00:00:00,111.17266845703124,243.08343124389648,226.34642791748047,61.49588267008463,24.56785726547241,28377.4638671875,276.16312676507073,144.16088130950928,276.16312676507073
2024-10-22 01:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,01:00:00,116.2902774810791,256.34603118896484,238.8825416564941,63.095635096232094,24.27261892954509,29678.126953125,288.5863025424716,152.3325708770752,288.5863025424716
2024-10-22 02:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,02:00:00,116.0117556254069,252.02316284179688,234.892214457194,63.2976188659668,24.40659713745117,29537.779622395832,284.63192423685894,148.54134979248047,284.63192423685894
2024-10-22 03:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,03:00:00,109.97936503092448,236.2968266805013,220.7081349690756,56.95396773020426,26.60873015721639,28086.51578776041,270.57562924863345,140.83544507344564,270.57562924863345
2024-10-22 04:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,04:00:00,106.59841219584148,228.2267850240072,214.6990089416504,48.7047618230184,29.75198443730672,27279.85498046875,264.6206394917256,136.88112466176352,264.6206394917256
2024-10-22 05:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,05:00:00,97.00634956359865,210.35674540201825,197.3793627421061,43.062103589375816,32.02261892954508,25041.976399739586,247.45702614082586,128.12480524698896,247.45702614082586
2024-10-22 06:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,06:00:00,89.03369077046712,191.73694610595703,180.14118830362955,40.78388977050781,32.09642839431763,23057.1748046875,230.37415057116442,119.00110359191895,230.37415057116442
2024-10-22 07:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,07:00:00,80.67797724405925,176.8779754638672,164.73769887288412,37.68293635050456,32.57023843129476,21077.424479166668,215.10943131547074,111.72020797729492,215.10943131547074
2024-10-22 08:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,08:00:00,67.15166632334392,135.57115109761557,128.80833117167154,32.837976137797035,32.85519886016846,17447.150553385418,227.47549827181751,90.47986403783162,227.47549827181751
2024-10-22 09:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,09:00:00,72.57167752583821,145.89905802408853,138.84181467692056,32.78050549825033,32.79935518900553,18805.50390625,237.94246209710366,95.54053843180338,237.94246209710366
2024-10-22 10:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,10:00:00,76.5718256632487,156.32519658406576,148.0422592163086,34.15912787119547,32.16904751459757,19805.228190104168,247.54039686422075,101.64934632619223,247.54039686422075
2024-10-22 11:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,11:00:00,76.87638982137044,156.0904769897461,147.61884943644205,36.17341264088949,31.08988078435262,19822.762044270832,247.09869435413867,101.53433372497558,247.09869435413867
2024-10-22 12:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,12:00:00,79.61190478006999,162.25873184204102,153.02242024739584,40.25714333852133,29.920833428700764,20462.115071614586,203.49969574066256,104.5567786026001,203.49969574066256
2024-10-22 13:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,13:00:00,82.8910722732544,170.47529792785645,160.52113342285156,43.34315443038941,28.803273677825928,21344.21728515625,210.9308529415646,108.58289598464965,210.9308529415646
2024-10-22 14:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,14:00:00,85.35459969260476,171.58527998490766,161.86893809925425,46.62651582197709,27.56753245267001,21894.85973011364,212.2665152334952,109.12678719260475,212.2665152334952
2024-10-22 15:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,15:00:00,87.32738176981609,172.6839281717936,162.88035583496094,49.270039876302086,26.94781764348348,22396.42268880208,213.26882109770904,109.66512480417887,213.26882109770904
2024-10-22 16:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,16:00:00,92.80357106526692,182.9321416219076,172.3337313334147,53.20535691579183,26.44682534535725,23727.14892578125,222.6370310511317,114.68674939473472,222.6370310511317
2024-10-22 17:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,17:00:00,94.88353157043456,188.7795613606771,177.59484100341797,54.6632932027181,26.040674686431885,24246.54378255208,227.8507433367205,117.55198506673177,227.8507433367205
2024-10-22 18:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,18:00:00,102.2794443766276,205.1737327575684,192.68920771280924,55.37456353505453,25.72896798451741,26027.96305338541,242.8091247604416,125.58512905120851,242.8091247604416
2024-10-22 19:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,19:00:00,109.4186503092448,225.8025805155436,211.3166643778483,55.57857100168864,25.42619037628174,27807.65283203125,261.2687665005704,135.69326445261638,261.2687665005704
2024-10-22 20:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,20:00:00,111.48813565572102,236.4536895751953,220.3341687520345,56.22269852956136,25.096349557240803,28439.80289713541,270.20503209661075,140.9123078918457,270.20503209661075
2024-10-22 21:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,21:00:00,121.64392725626628,265.9024264017741,247.00365193684897,56.90317471822103,24.932142575581867,30986.40738932292,296.6342496671476,161.79340213775637,296.6342496671476
2024-10-22 22:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,22:00:00,160.42785517374674,375.772221883138,346.8917058308919,56.80349191029867,24.751983960469563,40445.594401041664,396.5233120846676,230.37785666329518,396.5233120846676
2024-10-22 23:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-22,23:00:00,177.62856928507486,431.03492228190106,397.9426549275716,58.865078926086426,24.323610464731853,44673.42936197917,432.33304094616136,308.4682163238526,432.33304094616136
2024-10-23 00:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,00:00:00,203.1309521993001,539.4609069824219,494.6908721923828,59.1130952835083,24.160912831624348,51101.91796875,496.2294619549426,435.11629791259764,496.2294619549426
2024-10-23 01:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,01:00:00,199.55124155680332,534.1207377115885,489.0100682576497,60.43596235911051,23.91125949223836,50349.94010416666,492.4776301368067,429.8295303344726,492.4776301368067
2024-10-23 02:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,02:00:00,187.6156743367513,489.9938507080078,449.9837315877279,60.55337270100912,24.10178550084432,47419.75944010416,466.7030648911612,381.4298902511597,466.7030648911612
2024-10-23 03:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,03:00:00,159.504763285319,389.0535710652669,359.14255777994794,56.306845347086586,25.90000009536743,40488.3037109375,406.7078933970303,249.16147907802034,406.7078933970303
2024-10-23 04:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,04:00:00,128.03115208943686,296.32936096191406,274.9573402404785,48.3626979192098,29.025198459625244,32812.56982421875,325.2370038419156,191.91606735229493,325.2370038419156
2024-10-23 05:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,05:00:00,104.7805544535319,234.0543645222982,218.0359141031901,42.980753898620605,30.692063490549724,27039.38671875,267.9274824446028,139.7366386159261,267.9274824446028
2024-10-23 06:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,06:00:00,96.25535774230956,211.1567471822103,197.6095225016276,41.10773849487305,31.097023804982506,24922.65478515625,247.68511238900032,128.51680611928305,247.68511238900032
2024-10-23 07:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,07:00:00,87.83883794148763,189.167906443278,177.69166819254556,39.48377990722656,31.22986110051473,22771.441080729168,227.94669820882893,117.74227415720623,227.94669820882893
2024-10-23 08:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,08:00:00,70.88861083984375,148.93766021728516,140.69190533955893,36.64301617940267,31.57023827234904,18497.400634765625,239.8724829148191,97.02945350646974,239.8724829148191
2024-10-23 09:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,09:00:00,59.40940380096436,122.04682477315266,115.61634826660156,33.95906734466553,31.56944433848064,15618.486409505207,213.7135772222714,83.8529441388448,213.7135772222714
2024-10-23 10:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,10:00:00,53.31311511993408,107.20306587219238,101.88639895121256,32.29237143198649,31.19808530807495,14004.708333333334,199.39044779947358,76.57950227737427,199.39044779947358
2024-10-23 11:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,11:00:00,48.257936795552574,98.18531799316406,93.02995936075848,31.83333301544189,30.64384937286377,12788.894775390623,190.1513801550589,72.1608058166504,190.1513801550589
2024-10-23 12:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,12:00:00,58.48571427663168,120.22251955668132,113.40922609965008,37.213491439819336,29.40416653951009,15323.163818359377,211.4110999353568,82.95903458277385,211.4110999353568
2024-10-23 13:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-23,13:00:00,65.50883483886719,136.74613783094617,128.81629604763455,41.82883580525717,28.15407392713759,17076.595703125,227.48380725727947,91.05560753716362,227.48380725727947
